year,school,course,intake
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,40
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN PHARMACEUTICAL SCIENCES,60
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN MEDICINAL CHEMISTRY,48
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN FOOD SCIENCE & NUTRITION,58
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,57
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,96
2017,SCHOOL OF DESIGN,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,60
2017,SCHOOL OF DESIGN,DIPLOMA IN SPATIAL DESIGN,80
2017,SCHOOL OF DESIGN,DIPLOMA IN VISUAL COMMUNICATION,80
2017,SCHOOL OF DESIGN,DIPLOMA IN INDUSTRIAL DESIGN,55
2017,SCHOOL OF ENGINEERING,DIPLOMA IN TELEMATICS & MEDIA TECHNOLOGY,22
2017,SCHOOL OF ENGINEERING,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,44
2017,SCHOOL OF ENGINEERING,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,44
2017,SCHOOL OF ENGINEERING,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,44
2017,SCHOOL OF ENGINEERING,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,88
2017,SCHOOL OF ENGINEERING,DIPLOMA IN BIOMEDICAL ENGINEERING,66
2017,SCHOOL OF ENGINEERING,DIPLOMA IN ELECTRONIC SYSTEMS,100
2017,SCHOOL OF ENGINEERING,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,210
2017,SCHOOL OF ENGINEERING,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,88
2017,SCHOOL OF ENGINEERING,AEROSPACE / MECHATRONICS PROGRAMME,200
2017,SCHOOL OF ENGINEERING,COMMON ENGINEERING PROGRAMME,305
2017,SCHOOL OF ENGINEERING,DIPLOMA IN ENGINEERING WITH BUSINESS,88
2017,SCHOOL OF ENGINEERING,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,64
2017,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN ORAL HEALTH THERAPY,25
2017,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN NURSING,780
2017,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),75
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN DIGITAL VISUAL EFFECTS,45
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,80
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN DIGITAL GAME ART & DESIGN,82
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN INTERACTION DESIGN,72
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN ANIMATION,92
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,54
2017,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS INFORMATICS,104
2017,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN FINANCIAL INFORMATICS,60
2017,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS ENTERPRISE IT,40
2017,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN CYBER SECURITY & FORENSICS,60
2017,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,40
2017,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN INFOCOMM AND SECURITY,122
2017,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN INFORMATION TECHNOLOGY,132
2018,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN BANKING & FINANCE,112
2018,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,57
2018,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN MARKETING,78
2018,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN BUSINESS MANAGEMENT,390
2018,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN FOOD & BEVERAGE BUSINESS,79
2018,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN MASS MEDIA MANAGEMENT,59
2018,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,112
2018,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN ACCOUNTANCY & FINANCE,112
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,45
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN FOOD SCIENCE & NUTRITION,60
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN MEDICINAL CHEMISTRY,43
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,50
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,99
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN PHARMACEUTICAL SCIENCES,90
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,42
2018,SCHOOL OF DESIGN,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,66
2018,SCHOOL OF DESIGN,DIPLOMA IN INDUSTRIAL DESIGN,52
2018,SCHOOL OF DESIGN,DIPLOMA IN VISUAL COMMUNICATION,85
2018,SCHOOL OF DESIGN,DIPLOMA IN SPATIAL DESIGN,74
2018,SCHOOL OF ENGINEERING,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,92
2018,SCHOOL OF ENGINEERING,COMMON ENGINEERING PROGRAMME,312
2018,SCHOOL OF ENGINEERING,AEROSPACE/MECHATRONICS PROGRAMME,156
2018,SCHOOL OF ENGINEERING,DIPLOMA IN ROBOTICS & MECHATRONICS,48
2018,SCHOOL OF ENGINEERING,DIPLOMA IN ELECTRONIC SYSTEMS,90
2018,SCHOOL OF ENGINEERING,DIPLOMA IN ENGINEERING WITH BUSINESS,91
2018,SCHOOL OF ENGINEERING,DIPLOMA IN BIOMEDICAL ENGINEERING,48
2018,SCHOOL OF ENGINEERING,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,70
2018,SCHOOL OF ENGINEERING,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,47
2018,SCHOOL OF ENGINEERING,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,48
2018,SCHOOL OF ENGINEERING,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,45
2018,SCHOOL OF ENGINEERING,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,199
2018,SCHOOL OF ENGINEERING,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,66
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),75
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN NURSING,821
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN ORAL HEALTH THERAPY,25
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,87
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN DIGITAL VISUAL EFFECTS,45
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN DIGITAL GAME ART & DESIGN,86
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN INTERACTION DESIGN,70
