year,school,course,intake
2021,SCHOOL OF ENGINEERING,DIPLOMA IN INFOCOMM & MEDIA ENGINEERING,135
2021,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN SOCIAL WORK,49
2021,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN ORAL HEALTH THERAPY,26
2021,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN NURSING,800
2021,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,54
2021,SCHOOL OF INFORMATION TECHNOLOGY,COMMON ICT PROGRAMME,144
2021,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN INFOCOMM & SECURITY,63
2021,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,83
2021,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN CYBERSECURITY & DIGITAL FORENSICS,75
2021,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN INFORMATION TECHNOLOGY,100
2021,SCHOOL OF DESIGN & MEDIA,DIPLOMA IN INTERACTION DESIGN,50
2021,SCHOOL OF DESIGN & MEDIA,DIPLOMA IN DIGITAL GAME ART & DESIGN,66
2021,SCHOOL OF DESIGN & MEDIA,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,86
2021,SCHOOL OF DESIGN & MEDIA,DIPLOMA IN MOTION GRAPHICS DESIGN,50
2021,SCHOOL OF DESIGN & MEDIA,DIPLOMA IN ANIMATION & VISUAL EFFECTS,114
