Rank,Song_Title,Weeks_On_Chart
10,Heat Waves,82
15,Stay,57
20,Shivers,48
18,Ghost,46
12,Wasted On You,39
2,As It Was,19
6,First Class,18
4,Wait For U,15
7,Me Porto Bonito,14
19,Moscow Mule,14
13,You Proof,13
8,Late Night Talking,12
5,Sunroof,11
16,She Had Me At Heads Carolina,11
9,I Like You (A Happier Song),10
14,I Ain't Worried,9
1,Break My Soul,8
11,The Kind Of Love,8
17,Jimmy Cooks,8
3,Bad Habit,6
